"";"Gene";"Prot";"CorrValue"
"7399";"g.TTC39A";"p.CCNB1";-0,56334474748244
"8896";"g.FAM63A";"p.ESR1";0,563298755292149
"14529";"g.PREX1";"p.CDH3";-0,563176534007732
"25238";"g.NCOA7";"p.GO:0000122";-0,56308094408924
"27813";"g.GO:0045892";"p.GO:0007165";0,562904614628877
"16324";"g.CCNA2";"p.AKT1S1";0,562623175124943
"7813";"g.C4orf34";"p.CCNE1";-0,562496009168141
"16213";"g.KDM4B";"p.AKT1S1";-0,561966297762609
"10197";"g.PREX1";"p.GATA3";0,56180524869476
"4393";"g.C4orf34";"p.BECN1";-0,561785317099313
"5928";"g.GO:0046777";"p.CDK1";0,561621309494472
"26476";"g.MED13L";"p.GO:0006366";0,561525552831808
"6832";"g.GO:0018108";"p.CHEK2";0,561478311849707
"31012";"g.FAM63A";"p.GO:0045944";0,561151429776992
"1824";"g.GO:0046777";"p.ANLN";0,561108702758091
"7777";"g.KDM4B";"p.CCNE1";-0,560848483974321
"2321";"g.ASF1B";"p.ASNS";0,560404471335218
"2421";"g.NCAPG2";"p.ASNS";0,560209510019845
"25104";"g.ASPM";"p.GO:0000122";-0,560111163025216
"7905";"g.LMO4";"p.CCNE1";0,559777546281758
"23144";"g.FMNL2";"p.EEF2";0,559389618673562
"16406";"g.GO:0016032";"p.AKT1S1";0,559384464388648
"2342";"g.LRIG1";"p.ASNS";-0,559291587633856
"8934";"g.FUT8";"p.ESR1";0,558924601782701
"25153";"g.STC2";"p.GO:0000122";0,558720884604767
"24420";"g.ASPM";"p.TP53";0,558601249664222
"26606";"g.NCOA7";"p.GO:0006366";-0,557821635847563
"2475";"g.SEMA3C";"p.ASNS";-0,557810053031742
"14465";"g.SLC43A3";"p.CDH3";0,557430058031431
"6409";"g.KDM4B";"p.CHEK1";-0,557253830527975
"14425";"g.C4orf34";"p.CDH3";-0,55719213884808
"31236";"g.GO:0046777";"p.GO:0045944";-0,556735381357786
"15960";"g.GO:0046777";"p.PRKCD";0,556694985374241
"20520";"g.GO:0046777";"p.TGM1";0,555760124464804
"1699";"g.TTC39A";"p.ANLN";-0,555558663165457
"14301";"g.PREX1";"p.NOTCH1";-0,555553882234795
"13249";"g.KDM4B";"p.ERRFI1";-0,555440518022586
"2374";"g.CSRP2";"p.ASNS";0,555312561876005
"31161";"g.LMO4";"p.GO:0045944";-0,555116753805852
"16408";"g.GO:0018108";"p.AKT1S1";0,555078542635388
"25300";"g.GO:0018108";"p.GO:0000122";-0,555021768939513
"4428";"g.LYN";"p.BECN1";0,554868838708508
"14517";"g.LMO4";"p.CDH3";0,554545504741109
"20089";"g.KDM4B";"p.SYK";-0,554263748532393
"31170";"g.RUNX3";"p.GO:0045944";-0,554124617845462
"27754";"g.PLAUR";"p.GO:0007165";-0,553455101360262
"15848";"g.FMNL2";"p.PRKCD";0,553389882039111
"25176";"g.LYN";"p.GO:0000122";-0,553389493603051
"22834";"g.ZNF552";"p.MYC";-0,55332548368937
"4552";"g.GO:0018108";"p.BECN1";0,552174647433991
"24497";"g.SLC43A3";"p.TP53";0,552104751299063
"15538";"g.ZNF552";"p.PRKCA";-0,551793492249219
"23131";"g.TTC39A";"p.EEF2";-0,551790489223708
"4435";"g.TTC39A";"p.BECN1";-0,551376725321459
"21001";"g.KDM4B";"p.XBP1";-0,55110015501852
"20326";"g.ZNF552";"p.TGM1";-0,550911896560216
"5742";"g.FUT8";"p.CDK1";-0,550478302308728
"4485";"g.LMO4";"p.BECN1";0,550364240775429
"14364";"g.GO:0046777";"p.NOTCH1";0,550268894735543
"23089";"g.C4orf34";"p.EEF2";-0,550159770766941
"14480";"g.FMNL2";"p.CDH3";0,550025581126629
"7524";"g.GO:0046777";"p.CCNB1";0,549693801866307
"25789";"g.KDM4B";"p.GO:0006351";0,549629246401549
"16353";"g.PREX1";"p.AKT1S1";-0,549438575735421
"25298";"g.GO:0016032";"p.GO:0000122";-0,549422987547802
"1657";"g.C4orf34";"p.ANLN";-0,549408234734905
"20284";"g.GO:0018108";"p.SYK";0,549320647980287
"22606";"g.ZNF552";"p.MET";-0,549231267737876
"31027";"g.ARL4C";"p.GO:0045944";-0,549085689069282
"5858";"g.NCOA7";"p.CDK1";0,549006621128651
"7925";"g.MEX3A";"p.CCNE1";0,54862289181364
"10133";"g.SLC43A3";"p.GATA3";-0,548436727184297
"20098";"g.ZNF552";"p.SYK";-0,548118147604917
"7794";"g.FUT8";"p.CCNE1";-0,547002934821156
"27695";"g.RIN3";"p.GO:0007165";-0,546559828892285
"14237";"g.SLC43A3";"p.NOTCH1";0,546445577119698
"10148";"g.FMNL2";"p.GATA3";-0,546265249315974
"7390";"g.CSRP2";"p.CCNB1";0,545749786758598
"9373";"g.KDM4B";"p.FOXO3";-0,545455488030637
"26017";"g.KDM4B";"p.GO:0006355";0,545438960900725
"26674";"g.GO:0045893";"p.GO:0006366";-0,545410932242041
